序号,学校,类别,地址,邮编,电话
214,上海浦东新区民办建桥好好艺术幼儿园,民办幼儿园,东绣路73号,201204,68457181
215,上海浦东新区民办海富耀华幼儿园,民办幼儿园,耀华路550弄1号,200126,58803988
216,上海市浦东新区银星艺术幼儿园,民办幼儿园,"总部： 洪山路301弄57号
分部： 上钢五村10号",200126,"58457437
58837746"
217,上海浦东新区民办小白鸽幼儿园,民办幼儿园,洪山路301弄58号,200126,58741657
218,上海市浦东新区鹤琴文艺幼稚园,民办幼儿园,灵岩路50号,200126,58424709
219,上海市浦东新区民办建业大地幼儿园,民办幼儿园,浦东杨高南路2030弄29号,200125,68731003
220,上海市浦东新区新里城幼儿园,民办幼儿园,杨高南路4501弄138号,200123,50633492
221,上海市浦东新区民办御桥幼儿园,民办幼儿园,御青路328弄58号,201204,68930416
222,上海浦东新区民办小风车幼儿园,民办幼儿园,凌兆路127弄2号,200124,58494258
223,上海海富龙阳幼儿园,民办幼儿园,东环龙路201号,200127,50398797
224,上海浦东新区民办大华锦绣爱绿幼儿园,民办幼儿园,下南路619号,200125,50787771
225,上海浦东新区民办紫华中意幼儿园,民办幼儿园,环林东路271弄41号,200126,50838826
226,上海市儿童世界基金文学幼儿园,民办幼儿园,康士路2弄                     康桥镇军民公路3000号,201315,68196765
227,上海浦东新区民办东方小莹星幼儿园,民办幼儿园,龙东大道4328号,201201,58585232
228,上海浦东新区民办普瑞姆幼儿园,民办幼儿园,金豫路450号2号楼,201206,50477466-8006
229,上海民办中福会幼儿园,民办幼儿园,康桥秀沿路1361号,201315,68192363
230,上海浦东新区民办英群幼儿园,民办幼儿园,德州路420弄22号,200126,33842800
231,上海市浦东新区海富幼儿园,民办幼儿园,东方路1361号,200127,50398211
232,上海浦东新区民办凌江幼儿园,民办幼儿园,凌江路271-301号,200137,58617872
233,上海浦东新区民办起航幼儿园,民办幼儿园,浦东北路3838号,200137,50418838＊12
234,上海浦东新区民办小脚印幼儿园,民办幼儿园,大同路1156号,201208,58699918
235,上海浦东新区民办金色摇篮幼儿园,民办幼儿园,张杨北路5972号,200137,
236,上海浦东新区民办伏龙桥幼儿园,民办幼儿园,高东杨园赵高公路1022号,200137,68485069
237,上海浦东新区民办精忠赵桥幼儿园,民办幼儿园,赵高路1728号,201208,
238,上海浦东新区民办祥天幼儿园,民办幼儿园,川沙路955号,201209,
239,上海浦东新区民办阳光贝贝幼儿园,民办幼儿园,东川路4750号,201209,
240,上海浦东新区民办文化幼儿园,民办幼儿园,听潮南路453号,201300,68009306
241,上海浦东新区民办惠然幼儿园,民办幼儿园,英雄村农场路4号,,68008628
242,上海浦东新区民办博奥幼儿园,民办幼儿园,黄路村3004号-（19临）,201301 ,
243,上海浦东新区民办明辉幼儿园,民办幼儿园,宣桥镇光明六组531号,201314,58034372
244,上海浦东新区民办胡姬港湾松林幼儿园,民办幼儿园,松林路323号,200122,50581250
245,上海浦东新区民办刘诗昆音乐幼儿园,民办幼儿园,严桥路221号,201204,
246,上海浦东新区民办漆凉铭幼儿园,民办幼儿园,航头路1028号,201316,20980998
247,上海浦东新区民办尚德幼儿园,民办幼儿园,秀沿路1678号,201315,68180051
248,上海浦东新区民办陆凌幼儿园,民办幼儿园,高桥镇陆凌村西凌家宅601号,200137,58617872
249,上海浦东新区民办张江利生幼儿园,民办幼儿园,三灶浜路1001号,201210,58570953
250,上海浦东新区民办浦光幼儿园,民办幼儿园,益华路816号,201203,68397029
251,上海浦东新区民办百花幼儿园,民办幼儿园,泥城镇万彭桥车站367号,201307,58248136
252,上海浦东新区民办大团笑康幼儿园,民办幼儿园,大团镇周坪村一组102,201311,58238012
253,上海市南汇大团青青幼儿园,民办幼儿园,大团镇海潮村161号,201311,58081051
254,上海浦东新区民办苗苗幼儿园,民办幼儿园,万祥镇振万路246号,201313,58043318
255,上海浦东新区民办老港第二幼儿园,民办幼儿园,老港镇建港村港北395号,201302,58052192
256,上海浦东新区民办米奇幼儿园,民办幼儿园,合庆勤俭四村西张家宅118号,201201,68909005
257,上海浦东新区民办浦新幼儿园,民办幼儿园,王港新雅路170号,201201,38984038
258,上海浦东新区民办南奉幼儿园,民办幼儿园,大团海潮村1009号,201311,58084072
259,上海浦东新区民办跃丰幼儿园,民办幼儿园,合庆镇丰村路三队金家宅58号,201201,50125851
260,上海浦东新区民办恒星幼儿园,民办幼儿园,合庆镇益华路88号,201201,50151589
261,上海浦东新区民办海川之星幼儿园,民办幼儿园,张江镇中心村蔡家圈宅13号,201210,50114102
